DATE,GDPPOT
1/1/1960,3247.590212
4/1/1960,3280.322655
7/1/1960,3313.239234
10/1/1960,3345.865071
1/1/1961,3378.938041
4/1/1961,3411.201507
7/1/1961,3444.875675
10/1/1961,3478.866292
1/1/1962,3513.947061
4/1/1962,3549.937067
7/1/1962,3586.842056
10/1/1962,3624.437959
1/1/1963,3662.5489
4/1/1963,3701.491195
7/1/1963,3741.160921
10/1/1963,3781.631641
1/1/1964,3822.175522
4/1/1964,3863.688366
7/1/1964,3905.622277
10/1/1964,3947.758844
1/1/1965,3991.142198
4/1/1965,4033.8666
7/1/1965,4078.250413
10/1/1965,4123.172696
1/1/1966,4168.871439
4/1/1966,4215.197572
7/1/1966,4262.257505
10/1/1966,4309.163157
1/1/1967,4356.832846
4/1/1967,4404.836952
7/1/1967,4453.170539
10/1/1967,4502.685428
1/1/1968,4552.792583
4/1/1968,4603.034866
7/1/1968,4654.461894
10/1/1968,4706.730775
1/1/1969,4757.502398
4/1/1969,4806.309922
7/1/1969,4852.888464
10/1/1969,4897.638171
1/1/1970,4940.696005
4/1/1970,4981.961127
7/1/1970,5021.865334
10/1/1970,5060.846011
1/1/1971,5099.867514
4/1/1971,5139.664359
7/1/1971,5180.019968
10/1/1971,5221.049131
1/1/1972,5262.848205
4/1/1972,5305.199115
7/1/1972,5348.233602
10/1/1972,5391.931716
1/1/1973,5436.638132
4/1/1973,5483.479119
7/1/1973,5530.823888
10/1/1973,5579.191684
1/1/1974,5628.208067
4/1/1974,5677.535292
7/1/1974,5726.221413
10/1/1974,5774.225706
1/1/1975,5820.949249
4/1/1975,5866.698107
7/1/1975,5912.039467
10/1/1975,5957.442983
1/1/1976,6002.779319
4/1/1976,6048.870598
7/1/1976,6096.397205
10/1/1976,6144.696613
1/1/1977,6194.539002
4/1/1977,6245.583125
7/1/1977,6297.386545
10/1/1977,6350.619829
1/1/1978,6405.17138
4/1/1978,6460.824595
7/1/1978,6518.025697
10/1/1978,6576.182519
1/1/1979,6635.99063
4/1/1979,6693.770517
7/1/1979,6748.712367
10/1/1979,6800.226882
1/1/1980,6847.634303
4/1/1980,6890.338742
7/1/1980,6928.30332
10/1/1980,6968.307397
1/1/1981,7012.454856
4/1/1981,7059.687504
7/1/1981,7109.539837
10/1/1981,7161.927587
1/1/1982,7216.227666
4/1/1982,7271.853153
7/1/1982,7328.494387
10/1/1982,7386.243764
1/1/1983,7443.896284
4/1/1983,7502.919516
7/1/1983,7563.646648
10/1/1983,7626.825018
1/1/1984,7692.461868
4/1/1984,7760.515031
7/1/1984,7830.227126
10/1/1984,7901.167253
1/1/1985,7972.455818
4/1/1985,8044.179354
7/1/1985,8115.912314
10/1/1985,8187.1696
1/1/1986,8257.903613
4/1/1986,8328.256277
7/1/1986,8398.462686
10/1/1986,8468.412937
1/1/1987,8537.865392
4/1/1987,8606.721703
7/1/1987,8675.123969
10/1/1987,8743.466922
1/1/1988,8811.163227
4/1/1988,8878.906624
7/1/1988,8946.289699
10/1/1988,9013.711089
1/1/1989,9080.724913
4/1/1989,9147.609309
7/1/1989,9214.231015
10/1/1989,9280.70908
1/1/1990,9346.401061
4/1/1990,9411.54076
7/1/1990,9475.345475
10/1/1990,9537.764213
1/1/1991,9599.228894
4/1/1991,9659.582457
7/1/1991,9719.395445
10/1/1991,9779.411921
1/1/1992,9839.695264
4/1/1992,9900.903724
7/1/1992,9963.611115
10/1/1992,10027.17808
1/1/1993,10091.83144
4/1/1993,10158.09502
7/1/1993,10225.21506
10/1/1993,10293.34438
1/1/1994,10362.15083
4/1/1994,10431.45387
7/1/1994,10502.0394
