DATE,LFWA64TTUSM647N
1969-01-01,115676250.00000000
1970-01-01,118077500.00000000
1971-01-01,120809750.00000000
1972-01-01,124102166.66666667
1973-01-01,126708083.33333333
1974-01-01,129175750.00000000
1975-01-01,131627083.33333333
1976-01-01,134066333.33333333
1977-01-01,136436166.66666667
1978-01-01,138744416.66666667
1979-01-01,141097416.66666667
1980-01-01,143395250.00000000
1981-01-01,145279916.66666667
1982-01-01,146883750.00000000
1983-01-01,148323083.33333333
1984-01-01,149949750.00000000
1985-01-01,151208083.33333333
1986-01-01,153090250.00000000
1987-01-01,154644333.33333333
1988-01-01,156000750.00000000
1989-01-01,157221333.33333333
1990-01-01,159917250.00000000
1991-01-01,161224666.66666667
1992-01-01,162626583.33333333
1993-01-01,164203666.66666667
1994-01-01,165801750.00000000
1995-01-01,167136500.00000000
1996-01-01,168839250.00000000
1997-01-01,171144083.33333333
1998-01-01,172982666.66666667
1999-01-01,175269083.33333333
2000-01-01,179110250.00000000
2001-01-01,181420666.66666667
2002-01-01,183761750.00000000
2003-01-01,186914416.66666667
2004-01-01,188748083.33333333
2005-01-01,191014166.66666667
2006-01-01,193201416.66666667
2007-01-01,195639000.00000000
2008-01-01,196626583.33333333
2009-01-01,197803250.00000000
2010-01-01,199123250.00000000
2011-01-01,199888916.66666667
2012-01-01,201415250.00000000
2013-01-01,202267583.33333333
2014-01-01,202987250.00000000
2015-01-01,204291750.00000000
2016-01-01,205502750.00000000
2017-01-01,205537500.00000000
2018-01-01,206507750.00000000
2019-01-01,206269916.66666667
