DATE,NROU
1/1/1960,5.45645237
4/1/1960,5.463051
7/1/1960,5.469829559
10/1/1960,5.47677
1/1/1961,5.483875
4/1/1961,5.491165
7/1/1961,5.498675346
10/1/1961,5.506455421
1/1/1962,5.514559
4/1/1962,5.523042
7/1/1962,5.531950474
10/1/1962,5.541324
1/1/1963,5.551188
4/1/1963,5.561552
7/1/1963,5.572411
10/1/1963,5.583747387
1/1/1964,5.595527649
4/1/1964,5.607706
7/1/1964,5.620222569
10/1/1964,5.633007
1/1/1965,5.645977
4/1/1965,5.659044
7/1/1965,5.672116
10/1/1965,5.685105
1/1/1966,5.69793
4/1/1966,5.710529
7/1/1966,5.722861
10/1/1966,5.734915
1/1/1967,5.746704
4/1/1967,5.75827
7/1/1967,5.769672
10/1/1967,5.780984
1/1/1968,5.792286
4/1/1968,5.803658485
7/1/1968,5.815175533
10/1/1968,5.826905
1/1/1969,5.838901
4/1/1969,5.851209641
7/1/1969,5.863864
10/1/1969,5.876888
1/1/1970,5.890298367
4/1/1970,5.9041
7/1/1970,5.918292
10/1/1970,5.932861
1/1/1971,5.947782
4/1/1971,5.963016
7/1/1971,5.978505611
10/1/1971,5.994177
1/1/1972,6.00994
4/1/1972,6.025690556
7/1/1972,6.041317
10/1/1972,6.056706
1/1/1973,6.071745396
4/1/1973,6.086335
7/1/1973,6.10038662
10/1/1973,6.113830566
1/1/1974,6.126616478
4/1/1974,6.138715
7/1/1974,6.150114536
10/1/1974,6.16081953
1/1/1975,6.170844
4/1/1975,6.180209
7/1/1975,6.188934
10/1/1975,6.197032452
1/1/1976,6.204509
4/1/1976,6.211358
7/1/1976,6.217563
10/1/1976,6.223099
1/1/1977,6.227931
4/1/1977,6.232016563
7/1/1977,6.235309
10/1/1977,6.237757
1/1/1978,6.239311
4/1/1978,6.239927
7/1/1978,6.239574432
10/1/1978,6.23823452
1/1/1979,6.235909462
4/1/1979,6.232617
7/1/1979,6.228393555
10/1/1979,6.22329
1/1/1980,6.21737051
4/1/1980,6.210709
7/1/1980,6.203388
10/1/1980,6.195495605
1/1/1981,6.187123
4/1/1981,6.178361416
7/1/1981,6.169302464
10/1/1981,6.160031
1/1/1982,6.150627
4/1/1982,6.141159534
7/1/1982,6.131687
10/1/1982,6.122254
1/1/1983,6.112889
4/1/1983,6.103606
7/1/1983,6.094400406
10/1/1983,6.085254
1/1/1984,6.076131
4/1/1984,6.066982
7/1/1984,6.057761
10/1/1984,6.048421383
1/1/1985,6.038903
4/1/1985,6.029139519
7/1/1985,6.019057
10/1/1985,6.008578
1/1/1986,5.997622
4/1/1986,5.98611
7/1/1986,5.973967552
10/1/1986,5.961125374
1/1/1987,5.947525501
4/1/1987,5.933125496
7/1/1987,5.917901516
10/1/1987,5.901855
1/1/1988,5.885015
4/1/1988,5.86744
7/1/1988,5.849217
10/1/1988,5.830452442
1/1/1989,5.811267376
4/1/1989,5.791787
7/1/1989,5.772135
10/1/1989,5.752428532
1/1/1990,5.732765
4/1/1990,5.71323061
7/1/1990,5.693902493
10/1/1990,5.674851418
1/1/1991,5.656145573
4/1/1991,5.637838
7/1/1991,5.619961
10/1/1991,5.602534
1/1/1992,5.585576534
4/1/1992,5.569084
7/1/1992,5.553059
10/1/1992,5.537511
1/1/1993,5.522455
4/1/1993,5.50790453
7/1/1993,5.493864536
10/1/1993,5.480341434
1/1/1994,5.467338562
4/1/1994,5.454845
7/1/1994,5.442838
10/1/1994,5.431291
1/1/1995,5.420172
4/1/1995,5.409451485
7/1/1995,5.399091
10/1/1995,5.38905
1/1/1996,5.379276
4/1/1996,5.369709492
7/1/1996,5.360292435
10/1/1996,5.350973606
1/1/1997,5.341696
4/1/1997,5.332409382
7/1/1997,5.32308054
10/1/1997,5.31369
1/1/1998,5.304222
4/1/1998,5.294664
7/1/1998,5.285001
10/1/1998,5.275233
1/1/1999,5.265363
4/1/1999,5.255394459
7/1/1999,5.245333672
10/1/1999,5.235184669
1/1/2000,5.224948
4/1/2000,5.214622
7/1/2000,5.204211
10/1/2000,5.193731
1/1/2001,5.183196545
4/1/2001,5.172613621
7/1/2001,5.161983
10/1/2001,5.151313
1/1/2002,5.140615463
4/1/2002,5.129905
7/1/2002,5.119209
10/1/2002,5.108561516
1/1/2003,5.09799
4/1/2003,5.087525
7/1/2003,5.077202
10/1/2003,5.067058563
1/1/2004,5.057126
4/1/2004,5.047432423
7/1/2004,5.038008
10/1/2004,5.028878689
1/1/2005,5.020076
4/1/2005,5.011637
7/1/2005,5.00365448
10/1/2005,4.996716776
1/1/2006,4.987016737
4/1/2006,4.976734476
7/1/2006,4.966011158
10/1/2006,4.95504008
1/1/2007,4.94404698
4/1/2007,4.933268579
7/1/2007,4.922925139
10/1/2007,4.913194325
1/1/2008,4.904191719
4/1/2008,4.89596057
7/1/2008,4.88847076
10/1/2008,4.881623295
1/1/2009,4.875261901
4/1/2009,4.869192265
7/1/2009,4.86320598
10/1/2009,4.857106944
1/1/2010,4.850728283
4/1/2010,4.843936591
7/1/2010,4.836630897
10/1/2010,4.828742863
1/1/2011,4.820244007
4/1/2011,4.811158124
7/1/2011,4.801569813
10/1/2011,4.791622118
1/1/2012,4.781499529
4/1/2012,4.771399521
7/1/2012,4.761502715
10/1/2012,4.751948857
1/1/2013,4.742824857
4/1/2013,4.734167218
7/1/2013,4.725973252
10/1/2013,4.718212293
1/1/2014,4.710835162
4/1/2014,4.703780831
7/1/2014,4.696979838
10/1/2014,4.690356278
1/1/2015,4.683831539
4/1/2015,4.677328466
7/1/2015,4.670774594
10/1/2015,4.664107354
1/1/2016,4.657280063
