DATE,UNRATE
1/1/1960,5.133333333
4/1/1960,5.233333333
7/1/1960,5.533333333
10/1/1960,6.266666667
1/1/1961,6.8
4/1/1961,7
7/1/1961,6.766666667
10/1/1961,6.2
1/1/1962,5.633333333
4/1/1962,5.533333333
7/1/1962,5.566666667
10/1/1962,5.533333333
1/1/1963,5.766666667
4/1/1963,5.733333333
7/1/1963,5.5
10/1/1963,5.566666667
1/1/1964,5.466666667
4/1/1964,5.2
7/1/1964,5
10/1/1964,4.966666667
1/1/1965,4.9
4/1/1965,4.666666667
7/1/1965,4.366666667
10/1/1965,4.1
1/1/1966,3.866666667
4/1/1966,3.833333333
7/1/1966,3.766666667
10/1/1966,3.7
1/1/1967,3.833333333
4/1/1967,3.833333333
7/1/1967,3.8
10/1/1967,3.9
1/1/1968,3.733333333
4/1/1968,3.566666667
7/1/1968,3.533333333
10/1/1968,3.4
1/1/1969,3.4
4/1/1969,3.433333333
7/1/1969,3.566666667
10/1/1969,3.566666667
1/1/1970,4.166666667
4/1/1970,4.766666667
7/1/1970,5.166666667
10/1/1970,5.833333333
1/1/1971,5.933333333
4/1/1971,5.9
7/1/1971,6.033333333
10/1/1971,5.933333333
1/1/1972,5.766666667
4/1/1972,5.7
7/1/1972,5.566666667
10/1/1972,5.366666667
1/1/1973,4.933333333
4/1/1973,4.933333333
7/1/1973,4.8
10/1/1973,4.766666667
1/1/1974,5.133333333
4/1/1974,5.2
7/1/1974,5.633333333
10/1/1974,6.6
1/1/1975,8.266666667
4/1/1975,8.866666667
7/1/1975,8.466666667
10/1/1975,8.3
1/1/1976,7.733333333
4/1/1976,7.566666667
7/1/1976,7.733333333
10/1/1976,7.766666667
1/1/1977,7.5
4/1/1977,7.133333333
7/1/1977,6.9
10/1/1977,6.666666667
1/1/1978,6.333333333
4/1/1978,6
7/1/1978,6.033333333
10/1/1978,5.9
1/1/1979,5.866666667
4/1/1979,5.7
7/1/1979,5.866666667
10/1/1979,5.966666667
1/1/1980,6.3
4/1/1980,7.333333333
7/1/1980,7.666666667
10/1/1980,7.4
1/1/1981,7.433333333
4/1/1981,7.4
7/1/1981,7.4
10/1/1981,8.233333333
1/1/1982,8.833333333
4/1/1982,9.433333333
7/1/1982,9.9
10/1/1982,10.66666667
1/1/1983,10.36666667
4/1/1983,10.13333333
7/1/1983,9.366666667
10/1/1983,8.533333333
1/1/1984,7.866666667
4/1/1984,7.433333333
7/1/1984,7.433333333
10/1/1984,7.3
1/1/1985,7.233333333
4/1/1985,7.3
7/1/1985,7.2
10/1/1985,7.033333333
1/1/1986,7.033333333
4/1/1986,7.166666667
7/1/1986,6.966666667
10/1/1986,6.833333333
1/1/1987,6.6
4/1/1987,6.266666667
7/1/1987,6
10/1/1987,5.833333333
1/1/1988,5.7
4/1/1988,5.466666667
7/1/1988,5.466666667
10/1/1988,5.333333333
1/1/1989,5.2
4/1/1989,5.233333333
7/1/1989,5.233333333
10/1/1989,5.366666667
1/1/1990,5.3
4/1/1990,5.333333333
7/1/1990,5.7
10/1/1990,6.133333333
1/1/1991,6.6
4/1/1991,6.833333333
7/1/1991,6.866666667
10/1/1991,7.1
1/1/1992,7.366666667
4/1/1992,7.6
7/1/1992,7.633333333
10/1/1992,7.366666667
1/1/1993,7.133333333
4/1/1993,7.066666667
7/1/1993,6.8
10/1/1993,6.633333333
1/1/1994,6.566666667
4/1/1994,6.2
7/1/1994,6
10/1/1994,5.633333333
1/1/1995,5.466666667
4/1/1995,5.666666667
7/1/1995,5.666666667
10/1/1995,5.566666667
1/1/1996,5.533333333
4/1/1996,5.5
7/1/1996,5.266666667
10/1/1996,5.333333333
1/1/1997,5.233333333
4/1/1997,5
7/1/1997,4.866666667
10/1/1997,4.666666667
1/1/1998,4.633333333
4/1/1998,4.4
7/1/1998,4.533333333
10/1/1998,4.433333333
1/1/1999,4.3
4/1/1999,4.266666667
7/1/1999,4.233333333
10/1/1999,4.066666667
1/1/2000,4.033333333
4/1/2000,3.933333333
7/1/2000,4
10/1/2000,3.9
1/1/2001,4.233333333
4/1/2001,4.4
7/1/2001,4.833333333
10/1/2001,5.5
1/1/2002,5.7
4/1/2002,5.833333333
7/1/2002,5.733333333
10/1/2002,5.866666667
1/1/2003,5.866666667
4/1/2003,6.133333333
7/1/2003,6.133333333
10/1/2003,5.833333333
1/1/2004,5.7
4/1/2004,5.6
7/1/2004,5.433333333
10/1/2004,5.433333333
1/1/2005,5.3
4/1/2005,5.1
7/1/2005,4.966666667
10/1/2005,4.966666667
1/1/2006,4.733333333
4/1/2006,4.633333333
7/1/2006,4.633333333
10/1/2006,4.433333333
1/1/2007,4.5
4/1/2007,4.5
7/1/2007,4.666666667
10/1/2007,4.8
1/1/2008,5
4/1/2008,5.333333333
7/1/2008,6
10/1/2008,6.866666667
1/1/2009,8.266666667
4/1/2009,9.3
7/1/2009,9.633333333
10/1/2009,9.933333333
1/1/2010,9.833333333
4/1/2010,9.633333333
7/1/2010,9.466666667
10/1/2010,9.5
1/1/2011,9.033333333
4/1/2011,9.066666667
7/1/2011,9
10/1/2011,8.633333333
1/1/2012,8.266666667
4/1/2012,8.2
7/1/2012,8.033333333
10/1/2012,7.8
1/1/2013,7.733333333
4/1/2013,7.533333333
7/1/2013,7.233333333
10/1/2013,6.933333333
1/1/2014,6.666666667
4/1/2014,6.2
7/1/2014,6.066666667
10/1/2014,5.7
1/1/2015,5.533333333
4/1/2015,5.433333333
7/1/2015,5.1
10/1/2015,5.033333333
1/1/2016,4.9
4/1/2016,4.933333333
7/1/2016,4.9
10/1/2016,4.766666667
1/1/2017,4.566666667
4/1/2017,4.4
7/1/2017,4.3
10/1/2017,4.133333333
1/1/2018,4.033333333
4/1/2018,3.933333333
7/1/2018,3.766666667
10/1/2018,3.833333333
1/1/2019,3.866666667
4/1/2019,3.666666667
7/1/2019,3.6
10/1/2019,3.6
1/1/2020,3.8
4/1/2020,13.06666667
7/1/2020,8.8
10/1/2020,6.766666667
